Hash, Count
0_TO_12, 2
0_TO_6, 2
10_TO_14, 2
12_TO_0, 2
12_TO_18, 2
14_TO_18, 2
14_TO_22, 2
18_TO_0, 2
18_TO_22, 2
18_TO_6, 2
22_AMMO_BOX, 354
22_TO_4, 80
6_TO_10, 2
6_TO_12, 2
6_TO_14, 2
6_TO_18, 2
ABANDONEDCAMP_TALLTREES, 2
ABANDONED_BY_PLAYER, 14
ABANDONED_CHESTS_LOOTED, 4
ABERDEEN_PIG_FARMER, 2
ABERDEEN_PIG_FARMERS, 28
ABERDEEN_SISTER, 2
ABI1_ARRIVE, 2
ABILITIES, 336
ABILITIES_MENU_LOADOUT, 64
ABILITIES_MENU_SELECTION, 64
ABILITY_CARD, 88
ABILITY_CARDS, 60
ABILITY_CARDS_BACKGROUND, 4
ABILITY_CARDS_ICON_ACTIVE, 4
ABILITY_CARDS_ICON_COMBAT, 4
ABILITY_CARDS_ICON_DEFENCE, 4
ABILITY_CARDS_ICON_RECOVERY, 4
ABILITY_CARD_A_MOMENT_TO_RECUPERATE, 10
ABILITY_CARD_A_PERSON_OF_CONVICTION, 2
ABILITY_CARD_BACK, 58
ABILITY_CARD_COLD_BLOODED, 2
ABILITY_CARD_COMBAT_TIER_1, 58
ABILITY_CARD_COMBAT_TIER_2, 58
ABILITY_CARD_COMBAT_TIER_3, 58
ABILITY_CARD_COME_BACK_STRONGER, 2
ABILITY_CARD_DEAD_EYE_TIER_1, 58
ABILITY_CARD_DEAD_EYE_TIER_2, 58
ABILITY_CARD_DEAD_EYE_TIER_3, 58
ABILITY_CARD_DEFENSE_TIER_1, 58
ABILITY_CARD_DEFENSE_TIER_2, 58
ABILITY_CARD_DEFENSE_TIER_3, 58
ABILITY_CARD_EVENTS, 4
ABILITY_CARD_EYE_FOR_AN_EYE, 2
ABILITY_CARD_FOCUS_FIRE, 10
ABILITY_CARD_FOOL_ME_ONCE, 2
ABILITY_CARD_FRIENDS_FOR_LIFE, 2
ABILITY_CARD_GUNSLINGERS_CHOICE, 2
ABILITY_CARD_GUNSLINGERS_CHOICE_TIER_1, 262
ABILITY_CARD_GUNSLINGERS_CHOICE_TIER_1_EFFECT, 262
ABILITY_CARD_GUNSLINGERS_CHOICE_TIER_2, 262
ABILITY_CARD_GUNSLINGERS_CHOICE_TIER_2_EFFECT, 262
ABILITY_CARD_GUNSLINGERS_CHOICE_TIER_3, 262
ABILITY_CARD_GUNSLINGERS_CHOICE_TIER_3_EFFECT, 262
ABILITY_CARD_HANGMAN, 2
ABILITY_CARD_HORSEMAN, 2
ABILITY_CARD_HUNKER_DOWN, 2
ABILITY_CARD_IRON_LUNG, 2
ABILITY_CARD_KICK_IN_THE_BUTT, 2
ABILITY_CARD_LANDONS_PATIENCE, 2
ABILITY_CARD_LIVE_FOR_THE_FIGHT, 2
ABILITY_CARD_NECESSITY_BREEDS, 2
ABILITY_CARD_NEVER_WITHOUT_ONE, 2
ABILITY_CARD_OF_SINGLE_PURPOSE, 2
ABILITY_CARD_PAINT_IT_BLACK, 10
ABILITY_CARD_PEAK_CONDITION, 2
ABILITY_CARD_QUITE_AN_INSPIRATION, 2
ABILITY_CARD_RECOVERY_TIER_1, 58
ABILITY_CARD_RECOVERY_TIER_2, 58
ABILITY_CARD_RECOVERY_TIER_3, 58
ABILITY_CARD_RIDE_LIKE_THE_WIND, 2
ABILITY_CARD_SHARPSHOOTER, 2
ABILITY_CARD_SLIPPERY_BASTARD, 2
ABILITY_CARD_SLOW_AND_STEADY, 2
ABILITY_CARD_STRANGE_MEDICINE, 2
ABILITY_CARD_STRENGTH_IN_NUMBERS, 2
ABILITY_CARD_TAKE_THE_PAIN_AWAY, 2
ABILITY_CARD_THE_GIFT_OF_FOCUS, 2
ABILITY_CARD_THE_SHORT_GAME, 2
ABILITY_CARD_THE_UNBLINKING_EYE, 2
ABILITY_CARD_TO_FIGHT_ANOTHER_DAY, 2
ABILITY_CARD_UI_EVENT_MENU_LOAD_EVENT, 2
ABILITY_CARD_UI_EVENT_MENU_LOAD_LOCAL_PLAYER_EVENT, 2
ABILITY_CARD_WINNING_STREAK, 2
ABILITY_CARD__A_MOMENT_TO_RECUPERATE_AURA, 262
ABILITY_CARD__A_MOMENT_TO_RECUPERATE_TIER_1, 262
ABILITY_CARD__A_MOMENT_TO_RECUPERATE_TIER_1_EFFECT, 262
ABILITY_CARD__A_MOMENT_TO_RECUPERATE_TIER_2, 262
ABILITY_CARD__A_MOMENT_TO_RECUPERATE_TIER_2_EFFECT, 262
ABILITY_CARD__A_MOMENT_TO_RECUPERATE_TIER_3, 262
ABILITY_CARD__A_MOMENT_TO_RECUPERATE_TIER_3_EFFECT, 262
ABILITY_CARD__COLD_BLOODED_TIER_1, 262
ABILITY_CARD__COLD_BLOODED_TIER_1_EFFECT, 262
ABILITY_CARD__COLD_BLOODED_TIER_2, 262
ABILITY_CARD__COLD_BLOODED_TIER_2_EFFECT, 262
ABILITY_CARD__COLD_BLOODED_TIER_3, 262
ABILITY_CARD__COLD_BLOODED_TIER_3_EFFECT, 262
ABILITY_CARD__COME_BACK_STRONGER_TIER_1, 262
ABILITY_CARD__COME_BACK_STRONGER_TIER_1_EFFECT, 262
ABILITY_CARD__COME_BACK_STRONGER_TIER_2, 262
ABILITY_CARD__COME_BACK_STRONGER_TIER_2_EFFECT, 262
ABILITY_CARD__COME_BACK_STRONGER_TIER_3, 262
ABILITY_CARD__COME_BACK_STRONGER_TIER_3_EFFECT, 262
ABILITY_CARD__DEFAULT_DAMAGED_INDICATOR, 262
